epoch,train_loss,val_loss
1,0.021817901358008384,0.011133500436941782
2,0.008813132401555776,0.00858061844483018
3,0.007567889327183366,0.0070558847859501835
4,0.007216495191678405,0.006444084799538056
5,0.006960059044261773,0.006760349652419488
6,0.006354968772890667,0.005545637135704358
7,0.005822719746890167,0.005159474102159342
8,0.005559373791329563,0.005017673379431168
9,0.0055911575444042684,0.005178546346724033
10,0.0054981474795689185,0.004958449971551696
1,0.008303520428948104,0.004697480583563447
2,0.005160843892022968,0.004091080616538723
3,0.004756880807069441,0.003807540675625205
4,0.004486049950588495,0.0037071633897721766
5,0.004295740065940966,0.0035754797297219434
6,0.004130270171910524,0.0033573563893636066
7,0.004033565065435445,0.0032313083639989295
8,0.003955208039997766,0.003174819367316862
9,0.003853508068714291,0.003008535980867843
10,0.0038173476257361474,0.00314503049167494
11,0.003747983812975387,0.0030597850618263086
12,0.0037702884090443454,0.0029418284337346754
13,0.0036919654092441,0.0030509746245418984
14,0.0036797982139978556,0.003083244323109587
15,0.003651000559485207,0.0031780449021607637
16,0.0036269438030819097,0.0028080346217999857
17,0.0036302165671562156,0.002844201784270505
18,0.003606877597126489,0.0027848725657289228
19,0.0035698285734591384,0.0028685496111089987
20,0.003565369863839199,0.0028386705399801333
1,0.004698084855747099,0.003704973821528256
2,0.003679631847748533,0.003347177928779274
3,0.003546010085901556,0.002862201166028778
4,0.0034803896646092955,0.002703550141925613
5,0.0034449628790064403,0.002749524815628926
6,0.0034139213644356157,0.0026515274949682256
7,0.0033962081325085215,0.0027873510539842146
8,0.003380942661361769,0.0026343835005536676
9,0.0033701429508781683,0.00252302820297579
10,0.0033579097773569324,0.0027040886202206213
11,0.0033507980990068365,0.002608145765028894
12,0.00334658962112541,0.0027720731759133437
13,0.0033345472128363325,0.0026405419887353975
14,0.0033258595907129348,0.002552961734123528
15,0.0033240661532695716,0.002621511755976826
16,0.003318015053169802,0.002557754249467204
17,0.003316151198752535,0.002531332961206014
18,0.003305929008568637,0.0025929383360780776
19,0.0033020530350428698,0.002512758586167668
20,0.003302300813072361,0.002524630920573448
